matColumns: HU rho RSP Lrad Ipot H C N O Na Mg P S Cl K Ca Fe I
# Units: dimensionless g/cm^3 dimensionless eV g/cm^2
mat: -893 0.108129 0.100503 36.8241 81.67308283277742 4.25521 4.33784 46.1764 44.7347 0.0826255 0 0.0826255 0.123938 0.123938 0.0826255 0 0 0
mat: -892 0.109128 0.101477 36.8221 81.62597685396938 4.29498 4.37838 45.8931 44.9332 0.0833977 0 0.0833977 0.125097 0.125097 0.0833977 0 0 0
mat: -891 0.110127 0.102452 36.8201 81.5789318003524 4.33475 4.41892 45.6097 45.1317 0.0841699 0 0.0841699 0.126255 0.126255 0.0841699 0 0 0
mat: -890 0.111127 0.103427 36.8182 81.53192865370883 4.37452 4.45946 45.3263 45.3301 0.0849421 0 0.0849421 0.127413 0.127413 0.0849421 0 0 0
mat: -889 0.112126 0.104404 36.8162 81.48500831853669 4.41429 4.5 45.0429 45.5286 0.0857143 0 0.0857143 0.128571 0.128571 0.0857143 0 0 0
mat: -888 0.113125 0.105381 36.8142 81.43815328923378 4.45405 4.54054 44.7595 45.727 0.0864865 0 0.0864865 0.12973 0.12973 0.0864865 0 0 0
mat: -887 0.114124 0.106359 36.8122 81.39135717783256 4.49382 4.58108 44.4761 45.9255 0.0872587 0 0.0872587 0.130888 0.130888 0.0872587 0 0 0
mat: -886 0.115123 0.107337 36.8103 81.34460240830195 4.53359 4.62162 44.1927 46.1239 0.0880309 0 0.0880309 0.132046 0.132046 0.0880309 0 0 0
mat: -885 0.116122 0.108317 36.8083 81.29793139495668 4.57336 4.66216 43.9093 46.3224 0.0888031 0 0.0888031 0.133205 0.133205 0.0888031 0 0 0
mat: -884 0.117121 0.109297 36.8063 81.25132081176864 4.61313 4.7027 43.6259 46.5209 0.0895753 0 0.0895753 0.134363 0.134363 0.0895753 0 0 0
mat: -883 0.118121 0.110279 36.8044 81.20475115034743 4.6529 4.74324 43.3425 46.7193 0.0903475 0 0.0903475 0.135521 0.135521 0.0903475 0 0 0
mat: -882 0.11912 0.111261 36.8024 81.15828717068308 4.69266 4.78378 43.0591 46.9178 0.0911197 0 0.0911197 0.13668 0.13668 0.0911197 0 0 0
mat: -881 0.120119 0.112243 36.8004 81.11184030431093 4.73243 4.82432 42.7757 47.1162 0.0918919 0 0.0918919 0.137838 0.137838 0.0918919 0 0 0
mat: -880 0.121118 0.113227 36.7984 81.0654754414031 4.7722 4.86486 42.4923 47.3147 0.0926641 0 0.0926641 0.138996 0.138996 0.0926641 0 0 0
mat: -879 0.122117 0.114212 36.7965 81.0191509434136 4.81197 4.90541 42.2089 47.5131 0.0934363 0 0.0934363 0.140154 0.140154 0.0934363 0 0 0
mat: -878 0.123116 0.115197 36.7945 80.9729095806602 4.85174 4.94595 41.9255 47.7116 0.0942085 0 0.0942085 0.141313 0.141313 0.0942085 0 0 0
mat: -877 0.124116 0.116183 36.7925 80.92670700578354 4.89151 4.98649 41.6421 47.91 0.0949807 0 0.0949807 0.142471 0.142471 0.0949807 0 0 0
mat: -876 0.125115 0.11717 36.7905 80.88060809755291 4.93127 5.02703 41.3587 48.1085 0.0957529 0 0.0957529 0.143629 0.143629 0.0957529 0 0 0
mat: -875 0.126114 0.118158 36.7886 80.83452826159119 4.97104 5.06757 41.0753 48.3069 0.0965251 0 0.0965251 0.144788 0.144788 0.0965251 0 0 0
mat: -874 0.127113 0.119147 36.7866 80.78852859629902 5.01081 5.10811 40.7919 48.5054 0.0972973 0 0.0972973 0.145946 0.145946 0.0972973 0 0 0
mat: -873 0.128112 0.120136 36.7846 80.74258942011434 5.05058 5.14865 40.5085 48.7039 0.0980695 0 0.0980695 0.147104 0.147104 0.0980695 0 0 0
mat: -872 0.129111 0.121127 36.7827 80.69669095378288 5.09035 5.18919 40.2251 48.9023 0.0988417 0 0.0988417 0.148263 0.148263 0.0988417 0 0 0
mat: -871 0.13011 0.122118 36.7807 80.65087239634961 5.13012 5.22973 39.9417 49.1008 0.0996139 0 0.0996139 0.149421 0.149421 0.0996139 0 0 0
mat: -870 0.13111 0.12311 36.7787 80.60511462598161 5.16988 5.27027 39.6583 49.2992 0.100386 0 0.100386 0.150579 0.150579 0.100386 0 0 0
mat: -869 0.132109 0.124103 36.7767 80.5594158278431 5.20965 5.31081 39.3749 49.4977 0.101158 0 0.101158 0.151737 0.151737 0.101158 0 0 0
mat: -868 0.133108 0.125096 36.7748 80.51375912765957 5.24942 5.35135 39.0915 49.6961 0.101931 0 0.101931 0.152896 0.152896 0.101931 0 0 0
mat: -867 0.134107 0.126091 36.7728 80.46818006068006 5.28919 5.39189 38.8081 49.8946 0.102703 0 0.102703 0.154054 0.154054 0.102703 0 0 0
mat: -866 0.135106 0.127086 36.7708 80.42263959555974 5.32896 5.43243 38.5247 50.093 0.103475 0 0.103475 0.155212 0.155212 0.103475 0 0 0
mat: -865 0.136105 0.128082 36.7689 80.37718111827051 5.36873 5.47297 38.2413 50.2915 0.104247 0 0.104247 0.156371 0.156371 0.104247 0 0 0
mat: -864 0.137104 0.129079 36.7669 80.33180250266489 5.40849 5.51351 37.9579 50.49 0.105019 0 0.105019 0.157529 0.157529 0.105019 0 0 0
mat: -863 0.138104 0.130077 36.7649 80.28644231958869 5.44826 5.55405 37.6745 50.6884 0.105792 0 0.105792 0.158687 0.158687 0.105792 0 0 0
mat: -862 0.139103 0.131075 36.7629 80.24116193842367 5.48803 5.59459 37.3911 50.8869 0.106564 0 0.106564 0.159846 0.159846 0.106564 0 0 0
